Price	Product_descriptions
591.76	Lenovo 5 27IMB05 ALL-IN-ONE Core™ i7-10700T 512GB SSD 16GB 27" (2560x1440) TOUCHSCREEN WIN11 MINERAL GRAY Keyboard Mouse
373.36	Lenovo 5 15ITL05 Core™ i7-1165G7 512GB SSD 12GB 15.6" (1920x1080) TOUCHSCREEN WIN11 ABYSS BLUE Backlit Keyboard FP Reader
591.76	Lenovo ThinkCentre M90q Tiny Core™ i9-10900 512GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
144.56	Lenovo 3 22IMB05 ALL-IN-ONE Pentium® Gold G6400T 1TB 4GB 21.5" (1920x1080) WIN10 BLACK Keyboard Mouse
487.76	Lenovo 5 14IMB05 5i Creators Edition Core™ i7-10700 512GB SSD 16GB DVD-RW WIN10 Pro NVIDIA® GTX 1660 SUPER 6144MB BLACK Keyboard Mouse
643.76	Lenovo ThinkStation P340 SFF WORKSTATION Core™ i9-10900 512GB SSD 16GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
664.56	Lenovo ThinkStation P340 TOWER WORKSTATION Core™ i9-10900 1TB SSD 16GB DVD-RW WIN10 Pro NVIDIA® Quadro P2200 5120MB Keyboard Mouse BLACK
290.16	Lenovo 3 15IML05 Core™ i5-1035G1 512GB SSD 8GB 15.6" (1366x768) TOUCHSCREEN WIN11 ABYSS BLUE
134.16	Lenovo 3 15ITL05 Core™ i3-1115G4 128GB SSD 4GB 15.6" (1920x1080) WIN10 S ABYSS BLUE FP Reader
258.96	Lenovo FLEX 5 14ALC05 2-IN-1 AMD Ryzen™ 3 5300U 128GB SSD 4GB 14" (1920x1080) TOUCHSCREEN WIN10 S PLATINUM GRAY
1038.96	Lenovo ThinkStation P348 TOWER WORKSTATION Core™ i9-11900 512GB SSD 16GB WIN10 Pro NVIDIA® Quadro T1000 4096MB Keyboard Mouse BLACK
487.76	Lenovo CREATOR 5 14IOB6 Tower Core™ i7-10700 512GB SSD 16GB WIN11 NVIDIA® GTX 1660 SUPER 6144MB RAVEN BLACK Keyboard Mouse
82.16	Lenovo ThinkVision T24i-2L 23.8" (1920x1080) Monitor
134.16	Lenovo L27i-30 27" (1920x1080) RAVEN BLACK
487.76	Lenovo 3 24ITL6 ALL-IN-ONE Core™ i5-1135G7 1TB+256GB SSD 16GB 23.8" (1920x1080) TOUCHSCREEN WIN11 BLACK Keyboard Mouse
570.96	Lenovo ThinkStation P350 SFF WORKSTATION Core™ i7-11700 512GB SSD 16GB WIN10 Pro NVIDIA® Quadro T1000 4096MB Keyboard Mouse BLACK
290.16	Lenovo 5 14ARE05 Tower AMD Ryzen™ 5 4600G 1TB+256GB SSD 12GB DVD-RW WIN10 MINERAL GRAY
248.56	Lenovo ThinkCentre M75q-1 Tiny AMD Ryzen™ 5 Pro 3400E 256GB SSD 8GB WIN10 Pro Keyboard Mouse BLACK
570.96	Lenovo ThinkStation P330 Gen 2 SFF WORKSTATION Core™ i9-9900 512GB SSD 16GB DVD-RW WIN10 Pro BLACK Keyboard Mouse
518.96	Lenovo 3 27ITL6 ALL-IN-ONE Core™ i5-1135G7 256GB SSD 8GB 27" (1920x1080) TOUCHSCREEN Win 11 BLACK Keyboard Mouse
1.04	Lenovo 57Y4303 Security Cable Lock 4.99-Feet Zinc Alloy Galvanized Steel
414.96	Lenovo ThinkStation P348 TOWER WORKSTATION Core™ i5-11500 256GB SSD 8GB WIN10 Pro NVIDIA® Quadro T600 4096MB Keyboard Mouse BLACK
241.28	Lenovo 1 14IAU7 Core™ i3-1215U 128GB SSD 4GB 14" (1366x768) WIN11 S CLOUD GRAY
113.36	Lenovo ThinkVision T24v-20 23.8" (1920x1080) Monitor Webcam BLACK
560.56	Lenovo FLEX 5 16IAU7 2-IN-1 Core™ i7-1255U 512GB SSD 16GB 16" (2560x1600) TOUCHSCREEN WIN11 STORM GRAY Backlit Keyboard FP Reader
1735.76	Lenovo LEGION 7 16IAX7 GAMING Core™ i7-12800HX 2TB SSD 32GB 16" (2560x1600) 165Hz WIN11 NVIDIA® RTX 3070Ti 8192MB STORM GRAY RGB Backlit Keyboard FP Reader
1038.96	Lenovo YOGA 7 27ACH6 ALL-IN-ONE AMD Ryzen™ 7 5800H 1TB SSD 16GB 27" (3840x2160) TOUCHSCREEN WIN11 AMD RX 6600M 8192MB Wireless Keyboard & Mouse CLOUD GRAY
248.56	Lenovo 5 14IOB6 Tower Core™ i5-10400 512GB SSD 8GB DVD-RW WIN11 Pro MINERAL GREY Keyboard Mouse
674.96	Lenovo Slim 7 CARBON 13IAP7 Core™ i7-1260P 512GB SSD 16GB 13.3" (2560x1660) TOUCHSCREEN WIN11 Pro ONYX GRAY Backlit Keyboard
934.96	Lenovo 5 17IAB7 GAMING Core™ i7-12700 1TB+512GB SSD 16GB WIN11 NVIDIA® RTX 3060 12288MB RAVEN BLACK Keyboard Mouse
966.16	Lenovo ThinkPad P16s Gen 1 MOBILE WORKSTATION Core™ i7-1260P 512GB SSD 16GB 16" (1920x1200) WIN11 Pro NVIDIA® Quadro T550 4096MB BLACK Backlit Keyboard FP Reader
1.04	Lenovo 6ft LAPTOP/ NOTEBOOK POWER CORD
414.96	Lenovo ThinkCentre M80t Tower Gen 3 Core™ i5-12500 256GB SSD 8GB DVD-RW WIN11 Pro BLACK Keyboard Mouse
1631.76	Lenovo ThinkPad X1 EXTREME Gen 5 Core™ i7-12800H 1TB SSD 16GB 16" (2560x1600) WIN11 Pro NVIDIA® RTX 3070Ti 8192MB BLACK Backlit Keyboard
581.36	Lenovo FLEX 5 16IAU7 2-IN-1 Core™ i7-1255U 512GB SSD 16GB 16" (2560x1600) TOUCHSCREEN WIN11 STORM GRAY Backlit Keyboard FP Reader
373.36	Lenovo FLEX 5 14ALC7 2-IN-1 AMD Ryzen™ 7 5700U 512GB SSD 16GB 14" (2240x1400) TOUCHSCREEN WIN11 STORM GRAY Backlit Keyboard FP Reader
768.56	Lenovo Slim 7 ProX 14ARH7 AMD Ryzen™ 9 6900HS 1TB SSD 32GB 14.5" (3072x1920) 120Hz TOUCHSCREEN WIN11 NVIDIA® RTX 3050 4096MB ONYX GRAY Backlit Keyboard
518.96	Lenovo ThinkPad P15s Gen 2 MOBILE WORKSTATION Core™ i5-1135G7 256GB SSD 8GB 15.6" (1920x1080) WIN11 Pro NVIDIA® Quadro T500 4096MB BLACK FP Reader
21.84	Lenovo POS ING TMePOS White
